Country;Score;Property Rights;Judicial Effectiveness;Government Integrity;Tax Burden;Government Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom;Financial Freedom
Gabon;56.3;25.4;19.8;21.7;77.7;88.4;85.7;64.9;55.7;78.1;58;60;40
The Gambia;56.8;55;45.2;39.5;79.3;84.8;56.9;50.6;48;55.7;66.8;50;50
Georgia;69;62.3;55.3;58.9;89.1;72.9;75.9;78.1;63.5;65.3;86.2;60;60
Germany;71.6;95.4;93.5;86;60.5;26.9;81.1;83.7;53.3;69;79.6;60;70
Ghana;56;50.5;58.2;45.8;79.9;81.6;6.2;56.6;55.9;52.7;64.4;60;60
Greece;60.6;77.3;70.4;51.8;60;14;58.9;78;61.7;70.7;79.6;55;50
Guatemala;63.4;38.7;26.8;22.6;92;94.3;95.5;67.1;57.9;74.2;72.2;70;50
Guinea;54.6;22.3;26.5;25.1;70.4;93;93.4;44.9;56.4;71.1;61.8;50;40
Guinea-Bissau;43.6;26.5;14;20.4;88.9;84.5;15.6;35.1;54.8;73.3;50.6;30;30
Guyana;58.2;48.2;48.3;38.6;76.9;83.6;39.7;71.1;76.7;76;54;55;30
Haiti;46.1;10.7;16.7;13;81.7;98.1;96.6;33.3;54.9;41.2;66.4;20;20
Honduras;59.6;38.1;27.1;25.1;84.5;79.2;94.8;65;38.8;68.2;69.4;65;60
Hungary;61.4;69.2;62.7;42.2;85.3;28.5;17.6;76.1;60.3;65.1;79.6;80;70
Iceland;72.8;97;95.6;81.5;72.6;33.2;55.2;86.3;60.1;71.8;80.4;70;70
India;53;51.1;53.2;37.6;71.3;74.2;6.2;72.3;59;69.9;61;40;40
Indonesia;65.2;39.8;45.3;40.1;81.8;90.9;84.9;73;59.3;78;79.4;50;60
Iran;42.5;23.3;18.6;16.3;81.3;94;84.1;38.4;43.6;39;55.8;5;10
Ireland;83.1;94.1;95.5;84;77.6;85.1;95.8;88.1;62.4;75;79.6;90;70
Israel;69.9;77.2;68.1;63.9;60.8;55.6;81.7;73.4;58.3;77.3;82.8;70;70
Italy;60.9;82.2;78.8;60.6;57.4;9.5;0;77.6;70.7;74.2;79.6;80;60
Jamaica;68.7;67.8;79.9;49.5;76.5;72.8;89;70.1;64.4;72.8;71.8;60;50
Japan;70.2;95.1;96;82.8;62.5;47.5;41.6;78;67.8;74.4;76.2;60;60
Jordan;59.4;54.4;43.5;48.8;83.9;68.5;2.8;62.4;55.6;79.9;82.4;70;60
Kazakhstan;63.8;54.7;34.8;39.9;91.7;85.1;91.8;69.3;63.2;61.3;73.2;50;50
Kenya;54.8;41.8;48;31.5;77;83.7;25.1;58.9;57.3;72.6;56.6;55;50
Kiribati;50.9;68.5;59.9;48.9;72.9;0;19.7;62.8;65.3;72.5;80;30;30
North Korea;3;15.7;5.9;4;0;0;0;5;5;0;0;0;0
South Korea;74;89.4;77.3;68.8;59.6;81.8;93.8;90;56.4;77.6;73.2;60;60
Kosovo;61.7;47.6;32.2;43.2;91.9;74.3;98.5;56.8;47.5;69;84.2;65;30
Kuwait;59.9;42.7;42.9;46.9;97.7;38.2;100;57.4;49;67.8;75.6;50;50
Kyrgyz Republic;55.6;21.7;10.2;23.3;92.5;64.8;95.9;58.7;52.9;63.4;73.6;60;50
Laos;51.1;42.5;12.5;23.2;88.8;92.9;80;55.3;42.4;52.3;68.4;35;20
Latvia;71.4;87.8;72.3;66.7;76.2;46.9;67.2;81.8;64;69.5;79.6;85;60
Lebanon;44.1;22.3;22.6;24.5;90.3;95.6;63.6;47.8;57.1;0;65.4;20;20
Lesotho;54.1;42.4;43.6;39.3;68;23.8;92;49.6;58;73.5;63.8;55;40
Liberia;48.5;32.8;22.7;24.9;86;76.6;53.6;39;43.5;70.7;57;55;20
